Edad;Jugador;Posicion;Año;Temporadas_NBA;Equipo
29;Micheal Ray Richardson;B;1984-1985;6;New Jersey Nets
23;Derek Smith;E;1984-1985;2;Los Angeles Clippers
28;Calvin Natt;P;1984-1985;5;Denver Nuggets
37;Kareem Abdul-Jabbar;A;1984-1985;15;Los Angeles Lakers
28;Larry Bird;AP;1984-1985;5;Boston Celtics
26;Darrell Griffith;E;1984-1985;4;Utah Jazz
24;Sleepy Floyd;B;1984-1985;2;Golden State Warriors
25;Mark Aguirre;AP;1984-1985;3;Dallas Mavericks
25;Magic Johnson;B;1984-1985;5;Los Angeles Lakers
25;Dominique Wilkins;AP;1984-1985;2;Atlanta Hawks
32;Tom McMillen;P;1984-1985;9;Washington Bullets
22;Michael Jordan;E;1984-1985;0;Chicago Bulls
31;World B. Free;E;1984-1985;9;Cleveland Cavaliers
23;Isiah Thomas;B;1984-1985;3;Detroit Pistons
29;Micheal Ray Richardson;B;1984-1985;6;New Jersey Nets
23;Terry Cummings;P;1984-1985;2;Milwaukee Bucks
23;Derek Smith;E;1984-1985;2;Los Angeles Clippers
25;Orlando Woolridge;P;1984-1985;3;Chicago Bulls
29;Jack Sikma;A;1984-1985;7;Seattle SuperSonics
28;Bernard King;AP;1984-1985;7;New York Knicks
29;Moses Malone;A;1984-1985;8;Philadelphia Sixers
31;Alex English;AP;1984-1985;8;Denver Nuggets
26;Larry Nance;P;1984-1985;3;Phoenix Suns
26;Dominique Wilkins;AP;1985-1986;3;Atlanta Hawks
28;Herb Williams;A;1985-1986;4;Indiana Pacers
23;Charles Barkley;P;1985-1986;1;Philadelphia Sixers
30;Adrian Dantley;AP;1985-1986;9;Utah Jazz
29;Larry Bird;AP;1985-1986;6;Boston Celtics
26;Magic Johnson;B;1985-1986;6;Los Angeles Lakers
23;Charles Barkley;P;1985-1986;1;Philadelphia Sixers
28;Sidney Moncrief;E;1985-1986;6;Milwaukee Bucks
29;Larry Bird;AP;1985-1986;6;Boston Celtics
32;Alex English;AP;1985-1986;9;Denver Nuggets
23;Charles Barkley;P;1985-1986;1;Philadelphia Sixers
29;Larry Bird;AP;1985-1986;6;Boston Celtics
29;Calvin Natt;P;1985-1986;6;Denver Nuggets
23;Clyde Drexler;E;1985-1986;2;Portland Trail Blazers
26;Dominique Wilkins;AP;1985-1986;3;Atlanta Hawks
27;Larry Nance;P;1985-1986;4;Phoenix Suns
23;Alvin Robertson;E;1985-1986;1;San Antonio Spurs
27;Jeff Ruland;A;1985-1986;4;Washington Bullets
29;Larry Bird;AP;1985-1986;6;Boston Celtics
32;Alex English;AP;1985-1986;9;Denver Nuggets
23;Patrick Ewing;A;1985-1986;0;New York Knicks
25;Buck Williams;P;1985-1986;4;New Jersey Nets
24;Derek Smith;E;1985-1986;3;Los Angeles Clippers
37;Julius Erving;AP;1986-1987;14;Philadelphia Sixers
24;Michael Jordan;E;1986-1987;2;Chicago Bulls
27;Magic Johnson;B;1986-1987;7;Los Angeles Lakers
29;Larry Smith;P;1986-1987;6;Golden State Warriors
27;Magic Johnson;B;1986-1987;7;Los Angeles Lakers
23;Karl Malone;P;1986-1987;1;Utah Jazz
27;Magic Johnson;B;1986-1987;7;Los Angeles Lakers
24;Michael Jordan;E;1986-1987;2;Chicago Bulls
31;Moses Malone;A;1986-1987;10;Washington Bullets
27;Magic Johnson;B;1986-1987;7;Los Angeles Lakers
26;Fat Lever;B;1986-1987;4;Denver Nuggets
33;Alex English;AP;1986-1987;10;Denver Nuggets
24;Otis Thorpe;P;1986-1987;2;Sacramento Kings
25;Isiah Thomas;B;1986-1987;5;Detroit Pistons
30;Larry Bird;AP;1986-1987;7;Boston Celtics
24;Patrick Ewing;A;1986-1987;1;New York Knicks
27;Magic Johnson;B;1986-1987;7;Los Angeles Lakers
27;Dominique Wilkins;AP;1986-1987;4;Atlanta Hawks
27;Tom Chambers;P;1986-1987;5;Seattle SuperSonics
24;Hot Rod Williams;P;1986-1987;0;Cleveland Cavaliers
24;Alvin Robertson;E;1986-1987;2;San Antonio Spurs
33;Robert Parish;A;1986-1987;9;Boston Celtics
24;Michael Jordan;E;1986-1987;2;Chicago Bulls
24;Karl Malone;P;1987-1988;2;Utah Jazz
27;Fat Lever;B;1987-1988;5;Denver Nuggets
24;Harold Pressley;B;1987-1988;1;Sacramento Kings
25;Michael Jordan;E;1987-1988;3;Chicago Bulls
25;Michael Jordan;E;1987-1988;3;Chicago Bulls
25;Charles Barkley;P;1987-1988;3;Philadelphia Sixers
25;Clyde Drexler;E;1987-1988;4;Portland Trail Blazers
27;Bobby Hansen;E;1987-1988;4;Utah Jazz
23;Roy Tarpley;P;1987-1988;1;Dallas Mavericks
25;John Stockton;B;1987-1988;3;Utah Jazz
28;Dominique Wilkins;AP;1987-1988;5;Atlanta Hawks
31;Bernard King;AP;1987-1988;10;Washington Bullets
25;Michael Jordan;E;1987-1988;3;Chicago Bulls
28;Dominique Wilkins;AP;1987-1988;5;Atlanta Hawks
26;Byron Scott;E;1987-1988;4;Los Angeles Lakers
24;Karl Malone;P;1987-1988;2;Utah Jazz
28;Dominique Wilkins;AP;1987-1988;5;Atlanta Hawks
29;Larry Nance;P;1987-1988;6;Phoenix Suns
28;Magic Johnson;B;1987-1988;8;Los Angeles Lakers
25;Clyde Drexler;E;1987-1988;4;Portland Trail Blazers
25;Clyde Drexler;E;1987-1988;4;Portland Trail Blazers
24;Xavier McDaniel;P;1987-1988;2;Seattle SuperSonics
31;Larry Bird;AP;1987-1988;8;Boston Celtics
25;Xavier McDaniel;P;1988-1989;3;Seattle SuperSonics
25;Karl Malone;P;1988-1989;3;Utah Jazz
26;Clyde Drexler;E;1988-1989;5;Portland Trail Blazers
26;Michael Jordan;E;1988-1989;4;Chicago Bulls
26;Michael Jordan;E;1988-1989;4;Chicago Bulls
22;Kevin Johnson;B;1988-1989;1;Phoenix Suns
27;Isiah Thomas;B;1988-1989;7;Detroit Pistons
24;Chuck Person;AP;1988-1989;2;Indiana Pacers
