col1,col2,col3,col4,col5
-1.576936,-0.6678687,-0.8250487,-0.1616762,1.250913
0.10329,-0.5696065,0.2562195,1.372773,0.5152381
1.327698,-1.430758,-0.8928346,1.021864,-0.3991725
-0.09378867,-0.1176441,0.375415,0.6183535,-0.4131975
1.887756,-0.3215296,-1.163545,0.01609927,2.357873
-1.043721,-0.3601697,1.455989,0.5103403,0.2970968
0.2187934,-1.152211,-1.039961,1.902949,1.437208
0.3700362,-0.01916903,0.0734916,1.065874,-0.4827489
-0.2855766,-0.9659142,-0.6702747,-0.05578279,-0.08484987
-0.2175676,0.6930418,-1.008779,-0.7314265,0.1883124
